name,category,food_application,food_function,food_sector,e_number,usage_concentration_percent,regulatory_status,solubility,source
Glycogen,Storage,NA,Gelling agent,Nutraceuticals,NA,1.813,Approved EU,Soluble,Animals
Carrageenan,Algal,Gelling/Stabilizing,Gelling agent,Nutraceuticals,NA,0.12,GRAS,Soluble,Red Algae
Guar Gum,Storage,Thickener,Gelling agent,Confectionery,E440,2.105,Approved FDA,Soluble,Plants
Fucoidan,Algal,Nutraceutical,Coating,Beverages,E406,1.501,Approved EU,Soluble,Brown Algae
Scleroglucan,Fungal,Thickener,Humectant,Bakery,E401,4.88,Approved FDA,Soluble,Fungi
Guar Gum,Storage,Thickener,Humectant,Bakery,E406,2.614,Approved FDA,Soluble,Plants
Chitin,Structural,Preservative,Stabilizer,Bakery,E415,0.125,Under review,Insoluble,Fungi/Exoskeletons
Konjac Glucomannan,Storage,Gelling/Coating,Emulsifier,Confectionery,NA,1.831,Approved EU,Soluble,Plants
Starch,Storage,Thickener/Binder,Fat replacer,Beverages,E406,0.426,Approved EU,Soluble,Plants
Inulin,Storage,Prebiotic/Sweetener,Prebiotic,Nutraceuticals,E406,4.767,Approved FDA,Soluble,Plants
Welan Gum,Bacterial,NA,Film-forming,Meat products,E412,3.729,Restricted,Soluble,Bacteria
Levan,Bacterial,Food stabilizer,Film-forming,Functional Foods,E406,1.258,Approved EU,Soluble,Bacteria
Scleroglucan,Fungal,Thickener,Prebiotic,Functional Foods,E401,2.922,Under review,Soluble,Fungi
Dextran,Bacterial,Coating,Emulsifier,Confectionery,E440,2.444,Restricted,Soluble,Bacteria
Levan,Bacterial,Food stabilizer,Humectant,Meat products,NA,1.601,GRAS,Soluble,Bacteria
Laminarin,Algal,Supplement,Dietary fiber,Functional Foods,E406,2.84,Approved FDA,Soluble,Brown Algae
Fucoidan,Algal,Nutraceutical,Gelling agent,Nutraceuticals,E406,4.448,Under review,Soluble,Brown Algae
Inulin,Storage,Prebiotic/Sweetener,Humectant,Functional Foods,E410,3.023,Under review,Soluble,Plants
Alginate,Algal,Thickener/Emulsifier,Dietary fiber,Bakery,E401,0.908,Approved FDA,Soluble,Brown Algae
Levan,Bacterial,Food stabilizer,Emulsifier,Sauces/Dressings,E406,0.372,Approved FDA,Soluble,Bacteria
Alginate,Algal,Thickener/Emulsifier,Emulsifier,Sauces/Dressings,E401,0.058,GRAS,Soluble,Brown Algae
Welan Gum,Bacterial,NA,Fat replacer,Confectionery,E412,2.842,Approved FDA,Soluble,Bacteria
Agar,Algal,Gelling agent/Desserts,Film-forming,Dairy,E412,1.425,Approved EU,Soluble (Hot),Red Algae
Locust Bean Gum,Storage,Stabilizer/Thickener,Stabilizer,Dairy,E415,1.397,Under review,Soluble,Plants
Scleroglucan,Fungal,Thickener,Gelling agent,Functional Foods,E440,3.783,Approved FDA,Soluble,Fungi
Pectin,Structural,Jam/Jelly gelling,Stabilizer,Confectionery,E401,4.016,Restricted,Soluble,Plants
Cellulose,Structural,Dietary fiber,Prebiotic,Functional Foods,E401,0.629,Approved EU,Insoluble,Plants
Laminarin,Algal,Supplement,Fat replacer,Functional Foods,E406,2.886,Approved FDA,Soluble,Brown Algae
Starch,Storage,Thickener/Binder,Humectant,Bakery,E412,1.429,Restricted,Soluble,Plants
Cellulose,Structural,Dietary fiber,Film-forming,Bakery,E410,3.227,GRAS,Insoluble,Plants
Guar Gum,Storage,Thickener,Gelling agent,Functional Foods,E440,1.512,Approved FDA,Soluble,Plants
Konjac Glucomannan,Storage,Gelling/Coating,Fat replacer,Functional Foods,E401,2.787,Approved FDA,Soluble,Plants
Guar Gum,Storage,Thickener,Humectant,Bakery,E412,1.499,Restricted,Soluble,Plants
Guar Gum,Storage,Thickener,Gelling agent,Sauces/Dressings,E415,0.523,Approved EU,Soluble,Plants
Cellulose,Structural,Dietary fiber,Thickener,Beverages,E401,4.968,Restricted,Insoluble,Plants
Agar,Algal,Gelling agent/Desserts,Emulsifier,Dairy,E406,3.623,Approved FDA,Soluble (Hot),Red Algae
Cellulose Sulfate,Structural,Coating,Thickener,Bakery,E410,4.418,GRAS,Soluble,Plants (Modified)
Chitin,Structural,Preservative,Thickener,Meat products,E401,1.326,Under review,Insoluble,Fungi/Exoskeletons
Carrageenan,Algal,Gelling/Stabilizing,Prebiotic,Beverages,E406,2.921,GRAS,Soluble,Red Algae
Heparin,Bioactive,NA,Fat replacer,Beverages,NA,2.925,Restricted,Soluble,Animals
Fucoidan,Algal,Nutraceutical,Coating,Dairy,E415,2.643,Under review,Soluble,Brown Algae
Guar Gum,Storage,Thickener,Coating,Meat products,E410,3.865,Restricted,Soluble,Plants
Agar,Algal,Gelling agent/Desserts,Gelling agent,Meat products,NA,1.488,GRAS,Soluble (Hot),Red Algae
Alginate,Algal,Thickener/Emulsifier,Film-forming,Confectionery,E440,3.239,Approved EU,Soluble,Brown Algae
Welan Gum,Bacterial,NA,Gelling agent,Dairy,E412,0.311,GRAS,Soluble,Bacteria
Scleroglucan,Fungal,Thickener,Stabilizer,Nutraceuticals,NA,1.931,Restricted,Soluble,Fungi
Chitin,Structural,Preservative,Fat replacer,Confectionery,NA,2.957,Under review,Insoluble,Fungi/Exoskeletons
Locust Bean Gum,Storage,Stabilizer/Thickener,Fat replacer,Meat products,E440,2.276,Approved EU,Soluble,Plants
Locust Bean Gum,Storage,Stabilizer/Thickener,Gelling agent,Beverages,E406,4.584,Restricted,Soluble,Plants
Pullulan,Fungal,Edible films,Humectant,Confectionery,NA,2.007,GRAS,Soluble,Fungi
